Count,Tradelist Count,Name,Expansion,Foil,Condition,Language,Card Number
1,1,Stall for Time,Dominaria United,0,Near Mint,English,34
1,1,"Baird, Argivian Recruiter",Dominaria United,0,Near Mint,English,294
1,1,"Najal, the Storm Runner",Dominaria United,0,Near Mint,English,307
1,1,"Zar Ojanen, Scion of Efrava",Dominaria United,0,Near Mint,English,326
1,1,"Ivy, Gleeful Spellthief",Dominaria United,0,Near Mint,English,201
1,1,Jaya's Firenado,Dominaria United,0,Near Mint,English,134
1,1,"Uurg, Spawn of Turg",Dominaria United,0,Near Mint,English,324
1,1,"Nemata, Primeval Warden",Dominaria United,0,Near Mint,English,308
1,1,"Nemata, Primeval Warden",Dominaria United,0,Near Mint,English,308
1,1,Phyrexian Missionary,Dominaria United,0,Near Mint,English,27
1,1,Forest,Dominaria United,0,Near Mint,English,276
1,1,Forest,Dominaria United,0,Near Mint,English,276
1,1,Forest,Dominaria United,0,Near Mint,English,274
1,1,"Sheoldred, the Apocalypse",Dominaria United,0,Near Mint,English,290
1,1,Cosmic Epiphany,Dominaria United,0,Near Mint,English,283
1,1,The Raven Man,Dominaria United,0,Near Mint,English,289
1,1,"Squee, Dubious Monarch",Dominaria United,0,Near Mint,English,291
1,1,Plains,Dominaria United,0,Near Mint,English,264
1,1,Mountain,Dominaria United,0,Near Mint,English,273
1,1,Mountain,Dominaria United,0,Near Mint,English,272
1,1,Forest,Dominaria United,0,Near Mint,English,274
1,1,Swamp,Dominaria United,0,Near Mint,English,269
1,1,Swamp,Dominaria United,0,Near Mint,English,270
1,1,Forest,Dominaria United,0,Near Mint,English,274
1,1,Plains,Dominaria United,0,Near Mint,English,263
1,1,Island,Dominaria United,0,Near Mint,English,265
1,1,Island,Dominaria United,0,Near Mint,English,267
1,1,Swamp,Dominaria United,0,Near Mint,English,268
1,1,Plains,Dominaria United,0,Near Mint,English,277
